code,turnover_ratio,circulating_cap,circulating_market_cap,date,ret
002889.XSHE,9.7183,3720.1929,11.0304,2018-08-10,-0.021247892074199075
603680.XSHG,2.8883,5880.0,11.0309,2018-08-10,0.00906183368869945
002845.XSHE,2.2207,6239.9702,11.0323,2018-08-10,-0.009615384615384713
002866.XSHE,10.2097,8062.5391,11.0457,2018-08-10,-0.04014598540145991
300569.XSHE,1.3378,8459.3252,11.0479,2018-08-10,-0.003828483920367453
603667.XSHG,1.2965,11348.6943,11.0763,2018-08-10,-0.006147540983606608
603319.XSHG,0.5081,4611.3652,11.0857,2018-08-10,-0.05116472545757073
002853.XSHE,1.9737,5803.0747,11.1013,2018-08-10,0.006795608991113383
603926.XSHG,0.5647,6509.2524,11.1048,2018-08-10,0.0035169988276669826
300405.XSHE,0.7317,13260.0,11.1251,2018-08-10,-0.003575685339690031
300442.XSHE,0.4428,7215.0625,11.1256,2018-08-10,-0.0025940337224384514
300548.XSHE,2.5112,3411.0,11.1471,2018-08-10,-0.0241738066095471
002805.XSHE,2.046,5338.6299,11.1577,2018-08-10,-0.010047846889952194
300638.XSHE,7.0659,3990.0,11.168,2018-08-10,-0.006073597713469157
300579.XSHE,1.9572,4311.1553,11.2219,2018-08-10,-0.010372646945831716
600193.XSHG,0.3477,42537.3008,11.2298,2018-08-10,-0.022727272727272745
603033.XSHG,1.2729,5530.0,11.2314,2018-08-10,0.03052683407188565
002908.XSHE,12.5909,3334.0,11.2356,2018-08-10,0.01335311572700305
603060.XSHG,0.7046,6382.75,11.24,2018-08-10,0.004542873367404786
002809.XSHE,1.3979,6015.6675,11.3034,2018-08-10,0.01490154337413505
002843.XSHE,0.6702,8400.0,11.34,2018-08-10,-0.01703703703703707
603569.XSHG,1.0873,8019.6787,11.3478,2018-08-10,-0.00848056537102468
300668.XSHE,2.708,5609.5386,11.3649,2018-08-10,-0.012339585389930895
603040.XSHG,1.7541,3120.0,11.3755,2018-08-10,0.013439385628085629
002072.XSHE,9.0868,17600.0,11.4048,2018-08-10,-0.00771604938271602
603045.XSHG,13.8152,2458.0,11.442,2018-08-10,-0.019119226638023644
300484.XSHE,1.9059,9388.5996,11.4635,2018-08-10,-0.016380016380016318
300650.XSHE,0.638,7430.3599,11.5096,2018-08-10,-0.0116204002582311
300561.XSHE,4.6375,6715.8911,11.511,2018-08-10,0.01750291715285885
002905.XSHE,5.5862,6720.0,11.5315,2018-08-10,0.020979020979020945
300321.XSHE,0.8029999999999999,8274.2275,11.5591,2018-08-10,-0.003579098067286967
300512.XSHE,0.6748,7782.4922,11.5803,2018-08-10,0.0
601619.XSHG,4.0331,19371.2344,11.584000000000001,2018-08-10,-0.018394648829431343
603080.XSHG,22.3602,3550.0,11.5907,2018-08-10,0.009188361408881995
603871.XSHG,3.4548,2800.0,11.592,2018-08-10,0.0016908212560386546
601086.XSHG,3.6575,16000.0,11.6,2018-08-10,0.0041379310344827926
002740.XSHE,2.1127,16391.1895,11.605,2018-08-10,-0.012711864406779641
600444.XSHG,0.2894,10500.0,11.613,2018-08-10,0.0090415913200723
002900.XSHE,5.605,7915.0049,11.6192,2018-08-10,-0.003405994550408768
300281.XSHE,0.7502,22075.002,11.6556,2018-08-10,0.003787878787878875
300575.XSHE,0.9723,3439.1025,11.6758,2018-08-10,-0.004123711340206202
603596.XSHG,10.384,4086.0,11.6819,2018-08-10,-0.030430220356768137
603239.XSHG,1.7335,9072.0,11.6847,2018-08-10,0.027950310559006302
300560.XSHE,5.6679999999999975,6079.4102,11.7089,2018-08-10,-0.02440290758047761
300169.XSHE,0.7586,25752.6816,11.7175,2018-08-10,0.0087912087912088
300742.XSHE,9.9264,1963.0,11.7191,2018-08-10,-0.02077051926298149
300578.XSHE,8.32,5979.0962,11.7609,2018-08-10,-0.015760040671072634
603203.XSHG,0.40299999999999997,5278.6235,11.7661,2018-08-10,-0.011664423508299757
002911.XSHE,4.0608,5600.0,11.7768,2018-08-10,0.00998573466476466
600091.XSHG,0.2409,33652.6016,11.7784,2018-08-10,-0.00571428571428572
600243.XSHG,0.3289,23685.0,11.7951,2018-08-10,-0.00602409638554204
002918.XSHE,2.3779,5914.5,11.8053,2018-08-10,-0.010521042084168378
603585.XSHG,2.5292,5400.0,11.8098,2018-08-10,-0.009602194787379848
300600.XSHE,1.0286,6604.0,11.8278,2018-08-10,-0.011166945840312636
002708.XSHE,0.7522,24036.8105,11.8501,2018-08-10,-0.006085192697768814
603778.XSHG,2.8901,22620.4102,11.8531,2018-08-10,0.017175572519083943
603386.XSHG,0.0,5050.0,11.8625,2018-08-10,0.0
002823.XSHE,0.6897,9993.4316,11.8822,2018-08-10,0.0008410428931875346
000585.XSHE,0.2997,60942.0977,11.8837,2018-08-10,0.0
002861.XSHE,1.4794,5311.4526,11.887,2018-08-10,-0.008936550491510245
000995.XSHE,0.5905,17740.5449,11.9039,2018-08-10,0.00149031296572277
603608.XSHG,0.8553,12740.0,11.9119,2018-08-10,0.013903743315507916
300556.XSHE,5.6241,6230.0419999999995,11.9243,2018-08-10,-0.016196447230929924
300500.XSHE,6.1842,4330.8027,11.927,2018-08-10,0.009440813362381915
603880.XSHG,0.0,6340.75,11.9523,2018-08-10,0.0
300739.XSHE,12.4911,4620.0,11.9658,2018-08-10,-0.010424710424710543
000502.XSHE,0.8127,18334.8848,11.9727,2018-08-10,0.009188361408882158
300562.XSHE,1.6623,8375.9443,11.985999999999999,2018-08-10,-0.006289308176100619
300268.XSHE,0.879,9840.1084,12.0049,2018-08-10,0.009836065573770428
300216.XSHE,5.2857,28162.8672,12.0537,2018-08-10,0.007009345794392581
002634.XSHE,3.8034,27018.5684,12.0773,2018-08-10,0.004474272930648674
300494.XSHE,1.0452,10550.4375,12.0908,2018-08-10,-0.03403141361256533
300163.XSHE,2.1889,32956.8086,12.0951,2018-08-10,0.008174386920980874
603861.XSHG,0.4608,12108.5312,12.1085,2018-08-10,0.008999999999999984
603717.XSHG,1.4536,12207.9443,12.1225,2018-08-10,-0.005035246727089699
603619.XSHG,9.3082,4000.01,12.128,2018-08-10,0.003627968337730853
300407.XSHE,0.8544,16587.9355,12.1921,2018-08-10,-0.016326530612244913
300490.XSHE,4.9778,9086.2939,12.1938,2018-08-10,-0.04992548435171385
300533.XSHE,0.9289,3586.8894,12.2134,2018-08-10,-0.01644640234948612
600301.XSHG,0.1823,23514.8145,12.2277,2018-08-10,0.005769230769230817
002803.XSHE,1.0828,4600.0,12.235999999999999,2018-08-10,0.007894736842105295
603887.XSHG,1.6456,8090.8521,12.2495,2018-08-10,0.019815059445178383
603365.XSHG,5.7156,6667.0,12.2739,2018-08-10,-0.012493210211841414
603258.XSHG,0.7593,6678.6001,12.2819,2018-08-10,-0.007612833061446469
600306.XSHG,1.1247,17740.5723,12.2942,2018-08-10,0.015873015873015792
600202.XSHG,0.3879,38334.0664,12.3052,2018-08-10,-0.015576323987538884
002880.XSHE,2.6644,2700.0,12.3147,2018-08-10,-0.0010962508221880544
300162.XSHE,1.7198,21899.9785,12.3297,2018-08-10,-0.0017761989342806016
603985.XSHG,0.4056,6656.0,12.3535,2018-08-10,0.0021551724137930574
603232.XSHG,0.9039,5117.0,12.3678,2018-08-10,-0.0194455937112122
002591.XSHE,0.3206,18189.1172,12.3686,2018-08-10,0.008823529411764649
300705.XSHE,13.4476,5868.0,12.3932,2018-08-10,0.005208333333333306
603633.XSHG,0.5114,10794.8945,12.4249,2018-08-10,-0.006081668114682909
300690.XSHE,3.9155,5341.3057,12.4292,2018-08-10,0.015470562956596453
601882.XSHG,0.9201,12594.0,12.4555,2018-08-10,0.008088978766430745
603180.XSHG,9.4204,1841.6471,12.4587,2018-08-10,-0.0035476718403546913
603955.XSHG,0.3909,7132.0215,12.4596,2018-08-10,-0.002862049227246749
002576.XSHE,0.9792,13694.3848,12.4619,2018-08-10,-0.0010989010989010755
300608.XSHE,0.77,6912.5181,12.4633,2018-08-10,-0.018857459789240142
600272.XSHG,0.7496,16000.0,12.48,2018-08-10,0.002564102564102509
600634.XSHG,1.1356,57573.207,12.4934,2018-08-10,-0.036866359447004636
300598.XSHE,12.0902,4836.644,12.5172,2018-08-10,-0.04057187017001549
300380.XSHE,1.5522,7056.2715,12.5319,2018-08-10,-0.021396396396396337
300106.XSHE,3.1303,21029.8789,12.5548,2018-08-10,0.018425460636515817
600870.XSHG,0.3065,52319.9648,12.5568,2018-08-10,-0.008333333333333342
300507.XSHE,2.1147,5740.7324,12.5779,2018-08-10,-0.009128251939753505
300445.XSHE,0.6203,8805.2588,12.5915,2018-08-10,0.008391608391608461
000929.XSHE,0.5176,18575.4219,12.5941,2018-08-10,0.005899705014749268
300659.XSHE,1.6792,6370.5151,12.5945,2018-08-10,-0.01820940819423366
002819.XSHE,0.0,4421.1631,12.5959,2018-08-10,0.0
300472.XSHE,0.816,7157.7764,12.5977,2018-08-10,-0.016477272727272674
002633.XSHE,0.5862,14910.0,12.599,2018-08-10,0.0011834319526626968
000017.XSHE,6.7725,30298.0254,12.6343,2018-08-10,0.002398081534772132
300141.XSHE,0.5914,16265.0674,12.638,2018-08-10,-0.0038610038610038928
300306.XSHE,2.2607,15207.8516,12.6986,2018-08-10,-0.022754491017964014
002560.XSHE,1.6132,27465.8281,12.7167,2018-08-10,-0.004319654427645888
600074.XSHG,0.8695,102605.3125,12.7231,2018-08-10,-0.008064516129032265
300254.XSHE,1.0472,15551.7275,12.7524,2018-08-10,0.0
600556.XSHG,0.5675,39479.3711,12.7913,2018-08-10,0.0
300631.XSHE,1.0193,6930.3999,12.8212,2018-08-10,-0.0043243243243242325
600695.XSHG,2.1255,36646.7148,12.8264,2018-08-10,0.008571428571428516
300547.XSHE,2.6978,6163.5195,12.8386,2018-08-10,-0.0014402304368699539
300514.XSHE,8.0422,9032.0,12.8435,2018-08-10,-0.014767932489451413
002771.XSHE,1.1224,9151.0781,12.8573,2018-08-10,-0.01423487544483981
300399.XSHE,0.5534,13405.5264,12.8827,2018-08-10,-0.01456815816857446
002789.XSHE,2.5951,3787.4751,12.8926,2018-08-10,-0.02656641604010031
300687.XSHE,3.7835,6226.4131,12.9074,2018-08-10,-0.01640135069946936
300726.XSHE,19.7456,4010.0,12.9082,2018-08-10,-0.004970487729108534
603106.XSHG,5.8028,7700.0,12.9668,2018-08-10,-0.01425178147268399
300155.XSHE,0.6846,27780.0566,12.9733,2018-08-10,-0.019271948608137014
603630.XSHG,2.7063,8129.3291,12.9825,2018-08-10,0.0
002752.XSHE,0.6512,17023.5488,12.989,2018-08-10,0.007863695937090381
300430.XSHE,2.0622,15464.7119,12.9904,2018-08-10,-0.0214285714285714
002735.XSHE,0.2328,4195.25,12.9927,2018-08-10,-0.002260251856635463
002913.XSHE,8.0452,3601.3,13.0043,2018-08-10,-0.02520077540847421
300664.XSHE,2.7566,8000.0,13.024000000000001,2018-08-10,0.0
300404.XSHE,1.6878,8484.6953,13.1089,2018-08-10,-0.014886731391585787
002660.XSHE,0.5659,19053.9922,13.1091,2018-08-10,0.0029069767441859845
600696.XSHG,0.3351,34056.5547,13.1118,2018-08-10,0.005194805194805199
300350.XSHE,2.0084,23511.4199,13.1899,2018-08-10,-0.026737967914438405
603538.XSHG,1.7389,8946.0,13.1953,2018-08-10,-0.04135593220338979
603779.XSHG,1.0304,9260.5752,13.1963,2018-08-10,0.014736842105263218
002347.XSHE,0.972,31898.8164,13.2061,2018-08-10,0.007246376811594049
002901.XSHE,3.8480000000000003,4009.76,13.2603,2018-08-10,0.002419110976716005
300723.XSHE,3.3881,4000.0,13.267999999999999,2018-08-10,-0.003919204100090307
603037.XSHG,0.43,6146.543000000002,13.2704,2018-08-10,0.0009263547938860387
002863.XSHE,1.4269999999999998,18578.2793,13.3206,2018-08-10,-0.006973500697350045
603900.XSHG,2.4913,8511.8457,13.3466,2018-08-10,-0.0019132653061225216
600455.XSHG,0.9965,6245.7998,13.3473,2018-08-10,-0.10014038371548904
300040.XSHE,0.5332,23267.0078,13.3553,2018-08-10,-0.0034843205574912146
603999.XSHG,0.7437,23040.0,13.3632,2018-08-10,-0.008620689655172384
300582.XSHE,0.6387,11938.3047,13.3828,2018-08-10,-0.017841213202497704
600539.XSHG,0.16899999999999998,23000.0,13.409,2018-08-10,-0.005145797598627829
002873.XSHE,2.9145,6537.0498,13.4467,2018-08-10,0.007292173067574069
002932.XSHE,33.6488,1664.6287,13.4502,2018-08-10,-0.007178217821782158
002112.XSHE,4.3831,18265.2422,13.4615,2018-08-10,0.017639077340569864
300270.XSHE,1.1031,15083.1768,13.4693,2018-08-10,-0.007838745800671924
300112.XSHE,0.5061,16444.8906,13.4848,2018-08-10,-0.013414634146341612
300746.XSHE,14.8573,5260.0,13.4866,2018-08-10,-0.03978159126365053
002783.XSHE,0.7041,17120.8008,13.5426,2018-08-10,0.00505689001264223
603657.XSHG,66.0532,2400.0,13.5552,2018-08-10,-0.017705382436260624
603088.XSHG,0.7314,11200.0,13.5856,2018-08-10,0.0
002615.XSHE,0.2967,23465.959,13.5868,2018-08-10,-0.008635578583765081
002272.XSHE,0.4695,31829.375,13.5911,2018-08-10,0.007025761124121632
300648.XSHE,3.8963,5356.3911,13.6052,2018-08-10,0.010629921259842504
000893.XSHE,0.5122,40085.4453,13.6291,2018-08-10,0.008823529411764649
603069.XSHG,0.938,17380.0,13.6433,2018-08-10,0.002547770700636889
600605.XSHG,2.372,14734.458999999999,13.6441,2018-08-10,0.014038876889848706
300462.XSHE,10.0358,7737.2402,13.6485,2018-08-10,0.016439909297052104
600289.XSHG,0.2577,56592.2695,13.6953,2018-08-10,0.004132231404958589
300583.XSHE,2.2922,3425.0447,13.7105,2018-08-10,-0.004996252810392099
