fr,fru,frd,code,date
0.5559793281799742,0.870389777249462,0.08360413331003581,000004.XSHE,2018-08-21
-0.009088909757968538,0.270691236089227,-0.7406650215523287,000005.XSHE,2018-08-21
0.6144745222982454,0.8307017599716795,0.1539255590271672,000006.XSHE,2018-08-21
-0.0734135520838269,0.8383609480459989,-0.2687032683178012,000007.XSHE,2018-08-21
-0.0016489493514062928,-0.38715476550661176,0.8365749321584637,000008.XSHE,2018-08-21
0.10538330423487496,-0.003443206297137043,-0.006862956464629184,000009.XSHE,2018-08-21
0.27652169918127767,-0.15015331297756523,0.7799231471367845,000010.XSHE,2018-08-21
0.23153852643203449,-0.6006675063208295,0.1475696336509435,000011.XSHE,2018-08-21
0.39121398691509157,0.2756811181259968,-0.7364447635547631,000012.XSHE,2018-08-21
0.34671495174915956,-0.01549288976568762,-0.1344680445034461,000014.XSHE,2018-08-21
-0.05404345221343738,0.016485603807612714,0.8242476296629873,000016.XSHE,2018-08-21
0.5605693123864826,0.40140545473562383,0.9014779542119282,000017.XSHE,2018-08-21
0.26245502507577656,0.22359400505425198,-0.4820468135775943,000018.XSHE,2018-08-21
0.39868381624451615,-0.16374181408048405,-0.8528671075409848,000019.XSHE,2018-08-21
0.42291600362142334,0.11480397460903702,0.2888580680651484,000020.XSHE,2018-08-21
0.24102055608849965,-0.1813530679084001,0.7840247665494127,000021.XSHE,2018-08-21
0.11334774227065701,0.6111792007192118,-0.5714710642634845,000022.XSHE,2018-08-21
0.5213184798014165,0.44672356040340044,0.2418239694383635,000023.XSHE,2018-08-21
0.2073828677500205,-0.20258228858687716,-0.6936711053528889,000025.XSHE,2018-08-21
0.3863843924551292,-0.1603332949614142,-0.7635899023781727,000026.XSHE,2018-08-21
-0.07559899086804447,0.7501080916650978,-0.24827346951648993,000027.XSHE,2018-08-21
-0.003070241114414273,0.08750593086453093,-0.04882744972456227,000028.XSHE,2018-08-21
-0.06545522404812809,-0.1999909294330325,0.26877776284935956,000030.XSHE,2018-08-21
-0.1416359211244751,-0.17179042816688397,0.4323189430890605,000031.XSHE,2018-08-21
0.7289000724319782,0.596268190350139,0.29400806367879173,000032.XSHE,2018-08-21
-0.12091079441176412,-0.15122143583905995,0.4340064526645339,000034.XSHE,2018-08-21
0.11583819977795172,-0.1194345389761511,-0.014764687572709831,000035.XSHE,2018-08-21
-0.017001329864876735,0.09359097298351449,-0.6080110239045649,000036.XSHE,2018-08-21
0.3772957339869523,0.5217442471653373,0.40647167710878374,000037.XSHE,2018-08-21
0.1812451481092509,0.020302177496336997,-0.5859474440807279,000039.XSHE,2018-08-21
-0.04910399956406565,-0.7464954500116174,-0.23470149765160353,000040.XSHE,2018-08-21
-0.16287162429279392,0.6903083095118511,0.10638205686007295,000042.XSHE,2018-08-21
-0.2542039175155022,-0.29287807614812755,-0.803721017720826,000043.XSHE,2018-08-21
0.7398470425616597,0.33887779414936786,0.2914410496722397,000045.XSHE,2018-08-21
-0.046223850012427264,-0.2502199041663684,-0.13924360291399462,000046.XSHE,2018-08-21
0.5563686008597146,-0.17307459721831123,0.7593705601629842,000048.XSHE,2018-08-21
0.40116139605929646,0.25130961457777334,0.2836579196221555,000049.XSHE,2018-08-21
-0.07786848449144614,-0.05853211863965075,0.7344563267205497,000050.XSHE,2018-08-21
0.1272075635308225,0.24527432417822903,-0.15271483849814982,000055.XSHE,2018-08-21
0.2406291304357402,0.9368652290050823,-0.24308667343404608,000056.XSHE,2018-08-21
0.2861772434518731,0.1389481675030265,-0.774220562508178,000058.XSHE,2018-08-21
0.3949794842210774,0.09946088983856763,0.09699088125606754,000059.XSHE,2018-08-21
0.15440423421631233,-0.1446181684300081,0.07479881301634751,000060.XSHE,2018-08-21
0.0025170020297461395,-0.29598571313604916,-0.0467088107656411,000061.XSHE,2018-08-21
0.37286756359556206,0.562152196608251,0.15091621600266097,000062.XSHE,2018-08-21
-0.045994807970327636,0.2230436175293763,0.21155811597273216,000063.XSHE,2018-08-21
0.16159799833997865,0.6172081334379602,0.1487914220274308,000065.XSHE,2018-08-21
0.4748764073133841,0.0650455687159185,0.6670592735465333,000066.XSHE,2018-08-21
0.076949366771792,0.6309838352957627,0.16564490606762675,000068.XSHE,2018-08-21
-0.14534114484334207,-0.34259914045990314,-0.10441397399891472,000069.XSHE,2018-08-21
0.5345716207423126,0.4182421042836728,0.7637754330918578,000070.XSHE,2018-08-21
-0.521647477482268,-0.4569209285841738,-0.07930819173801523,000078.XSHE,2018-08-21
0.29900430888814933,0.04544454272188627,0.4010501029242663,000088.XSHE,2018-08-21
0.10165203573953806,0.4987085942679327,-0.3497125892108456,000089.XSHE,2018-08-21
0.4595984991521678,0.5157002326163996,0.020697172015948805,000090.XSHE,2018-08-21
0.16181096980060808,0.3968668396506446,-0.6039698114295998,000096.XSHE,2018-08-21
0.5429205077524135,0.6419070972520714,-0.6822260719651578,000099.XSHE,2018-08-21
0.5732424339476138,0.625644893566541,-0.7658375999464031,000100.XSHE,2018-08-21
0.5902690056428567,0.4065705366751736,1.0,000150.XSHE,2018-08-21
0.49491211094484905,0.25213502359099954,0.26597385378738003,000151.XSHE,2018-08-21
0.09500533873323334,0.04342695033510519,-0.9116896396574945,000153.XSHE,2018-08-21
-0.1998331193700239,0.17769621254168785,-0.7519366274792254,000155.XSHE,2018-08-21
0.3185414436487478,0.16753930152638558,0.4586709745859324,000156.XSHE,2018-08-21
0.1651323556831104,0.015946713035745408,-0.062499788481609364,000157.XSHE,2018-08-21
