日期,标的,数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,当日盈亏,今手数,仓位占比
2009/8/25,Cash,,,1016.39,,,,,
2009/8/26,郑州煤电(600121.XSHG),1800股,8.79,15822,730,8.38,252,0股,14.99%
2009/8/26,皖通高速(600012.XSHG),4800股,5.24,25152,174,5.2,576,0股,23.83%
2009/8/26,晋西车轴(600495.XSHG),1100股,19.28,21208,-1353,20.51,638,0股,20.09%
2009/8/26,赣粤高速(600269.XSHG),1800股,14.4,25920,1404,13.62,36,0股,24.56%
2009/8/26,东湖高新(600133.XSHG),2400股,6.85,16440,1296,6.31,816,0股,15.57%
2009/8/26,Cash,,,1016.39,,,,,
2009/8/27,郑州煤电(600121.XSHG),1800股,8.89,16002,910,8.38,180,0股,15.10%
2009/8/27,皖通高速(600012.XSHG),4800股,5.32,25536,558,5.2,384,0股,24.10%
2009/8/27,晋西车轴(600495.XSHG),1100股,19.27,21197,-1364,20.51,-11,0股,20.01%
2009/8/27,赣粤高速(600269.XSHG),1800股,13.95,25110,594,13.62,-810,0股,23.70%
2009/8/27,东湖高新(600133.XSHG),2400股,7.12,17088,1944,6.31,648,0股,16.13%
2009/8/27,Cash,,,1016.39,,,,,
2009/8/28,郑州煤电(600121.XSHG),1800股,8.62,15516,424,8.38,-486,0股,14.85%
2009/8/28,皖通高速(600012.XSHG),4800股,5.24,25152,174,5.2,-384,0股,24.07%
2009/8/28,晋西车轴(600495.XSHG),1100股,19.77,21747,-814,20.51,550,0股,20.81%
2009/8/28,赣粤高速(600269.XSHG),1800股,13.69,24642,126,13.62,-468,0股,23.58%
2009/8/28,东湖高新(600133.XSHG),2400股,6.85,16440,1296,6.31,-648,0股,15.73%
2009/8/28,Cash,,,1016.39,,,,,
2009/8/31,郑州煤电(600121.XSHG),1800股,7.81,14058,-1034,8.38,-1458,0股,14.22%
2009/8/31,皖通高速(600012.XSHG),4800股,4.99,23952,-1026,5.2,-1200,0股,24.22%
2009/8/31,晋西车轴(600495.XSHG),1100股,18.12,19932,-2629,20.51,-1815,0股,20.16%
2009/8/31,赣粤高速(600269.XSHG),1800股,13.69,24642,126,13.62,0,0股,24.92%
2009/8/31,东湖高新(600133.XSHG),2400股,6.37,15288,144,6.31,-1152,0股,15.46%
2009/8/31,Cash,,,1016.39,,,,,
2009/9/1,郑州煤电(600121.XSHG),1800股,7.75,13950,-1142,8.38,-108,0股,14.18%
2009/9/1,皖通高速(600012.XSHG),4900股,5.05,24745,-732,5.2,294,100股,25.15%
2009/9/1,赣粤高速(600269.XSHG),1800股,13.32,23976,-540,13.62,-666,0股,24.37%
2009/9/1,东湖高新(600133.XSHG),2600股,6.31,16406,0,6.31,-144,200股,16.68%
2009/9/1,传化股份(002010.XSHE),1800股,10.19,18342,288,10.03,288,1800股,18.64%
2009/9/1,Cash,,,960.24,,,,,
2009/9/2,郑州煤电(600121.XSHG),1800股,7.96,14328,-764,8.38,378,0股,14.32%
2009/9/2,皖通高速(600012.XSHG),4900股,5.05,24745,-732,5.2,0,0股,24.74%
2009/9/2,赣粤高速(600269.XSHG),1800股,14.08,25344,828,13.62,1368,0股,25.34%
2009/9/2,东湖高新(600133.XSHG),2600股,6.28,16328,-78,6.31,-78,0股,16.32%
2009/9/2,传化股份(002010.XSHE),1800股,10.18,18324,270,10.03,-18,0股,18.32%
2009/9/2,Cash,,,960.24,,,,,
2009/9/3,郑州煤电(600121.XSHG),1800股,8.41,15138,46,8.38,810,0股,14.45%
2009/9/3,皖通高速(600012.XSHG),4900股,5.18,25382,-95,5.2,637,0股,24.23%
2009/9/3,赣粤高速(600269.XSHG),1800股,14.89,26802,2286,13.62,1458,0股,25.59%
2009/9/3,东湖高新(600133.XSHG),2600股,6.53,16978,572,6.31,650,0股,16.21%
2009/9/3,传化股份(002010.XSHE),1800股,10.82,19476,1422,10.03,1152,0股,18.60%
2009/9/3,Cash,,,960.24,,,,,
2009/9/4,郑州煤电(600121.XSHG),1800股,8.42,15156,64,8.38,18,0股,14.28%
2009/9/4,皖通高速(600012.XSHG),4900股,5.21,25529,52,5.2,147,0股,24.05%
2009/9/4,赣粤高速(600269.XSHG),1800股,15.25,27450,2934,13.62,648,0股,25.86%
2009/9/4,东湖高新(600133.XSHG),2600股,6.63,17238,832,6.31,260,0股,16.24%
2009/9/4,传化股份(002010.XSHE),1800股,11,19800,1746,10.03,324,0股,18.66%
2009/9/4,Cash,,,960.24,,,,,
2009/9/7,郑州煤电(600121.XSHG),1800股,8.48,15264,172,8.38,108,0股,14.40%
2009/9/7,皖通高速(600012.XSHG),4900股,5.2,25480,3,5.2,-49,0股,24.04%
2009/9/7,赣粤高速(600269.XSHG),1800股,14.95,26910,2394,13.62,-540,0股,25.39%
2009/9/7,东湖高新(600133.XSHG),2600股,6.69,17394,988,6.31,156,0股,16.41%
2009/9/7,传化股份(002010.XSHE),1800股,11.1,19980,1926,10.03,180,0股,18.85%
2009/9/7,Cash,,,960.24,,,,,
2009/9/8,郑州煤电(600121.XSHG),1800股,8.69,15642,550,8.38,378,0股,14.57%
2009/9/8,皖通高速(600012.XSHG),4900股,5.24,25676,199,5.2,196,0股,23.92%
2009/9/8,赣粤高速(600269.XSHG),1800股,14.84,26712,2196,13.62,-198,0股,24.88%
2009/9/8,东湖高新(600133.XSHG),2600股,6.8,17680,1274,6.31,286,0股,16.47%
2009/9/8,传化股份(002010.XSHE),1800股,11.49,20682,2628,10.03,702,0股,19.27%
2009/9/8,Cash,,,960.24,,,,,
2009/9/9,郑州煤电(600121.XSHG),1800股,8.74,15732,640,8.38,90,0股,14.35%
2009/9/9,皖通高速(600012.XSHG),4900股,5.22,25578,101,5.2,-98,0股,23.33%
2009/9/9,赣粤高速(600269.XSHG),1800股,16.2,29160,4644,13.62,2448,0股,26.59%
2009/9/9,东湖高新(600133.XSHG),2600股,6.74,17524,1118,6.31,-156,0股,15.98%
2009/9/9,传化股份(002010.XSHE),1800股,11.5,20700,2646,10.03,18,0股,18.88%
2009/9/9,Cash,,,960.24,,,,,
2009/9/10,郑州煤电(600121.XSHG),1800股,8.59,15462,370,8.38,-270,0股,14.08%
2009/9/10,皖通高速(600012.XSHG),4900股,5.25,25725,248,5.2,147,0股,23.42%
2009/9/10,赣粤高速(600269.XSHG),1800股,16.71,30078,5562,13.62,918,0股,27.38%
2009/9/10,东湖高新(600133.XSHG),2600股,6.66,17316,910,6.31,-208,0股,15.76%
2009/9/10,传化股份(002010.XSHE),1800股,11.28,20304,2250,10.03,-396,0股,18.48%
2009/9/10,Cash,,,960.24,,,,,
2009/9/11,郑州煤电(600121.XSHG),1800股,8.78,15804,712,8.38,342,0股,14.18%
2009/9/11,皖通高速(600012.XSHG),4900股,5.29,25921,444,5.2,196,0股,23.26%
2009/9/11,赣粤高速(600269.XSHG),1800股,16.94,30492,5976,13.62,414,0股,27.36%
2009/9/11,东湖高新(600133.XSHG),2600股,6.86,17836,1430,6.31,520,0股,16%
2009/9/11,传化股份(002010.XSHE),1800股,11.35,20430,2376,10.03,126,0股,18.33%
2009/9/11,Cash,,,960.24,,,,,
2009/9/14,郑州煤电(600121.XSHG),1800股,8.9,16020,928,8.38,216,0股,14.18%
2009/9/14,皖通高速(600012.XSHG),4900股,5.34,26166,689,5.2,245,0股,23.16%
2009/9/14,赣粤高速(600269.XSHG),3600股,8.39,30204,5688,6.81,-288,0股,26.73%
2009/9/14,东湖高新(600133.XSHG),2600股,7.08,18408,2002,6.31,572,0股,16.29%
2009/9/14,传化股份(002010.XSHE),1800股,11.79,21222,3168,10.03,792,0股,18.78%
2009/9/14,Cash,,,960.24,,,,,
2009/9/15,郑州煤电(600121.XSHG),1800股,9.11,16398,1306,8.38,378,0股,14.47%
2009/9/15,皖通高速(600012.XSHG),4900股,5.32,26068,591,5.2,-98,0股,23.01%
2009/9/15,赣粤高速(600269.XSHG),3600股,8.48,30528,6012,6.81,324,0股,26.94%
2009/9/15,东湖高新(600133.XSHG),2600股,7.04,18304,1898,6.31,-104,0股,16.16%
2009/9/15,传化股份(002010.XSHE),1800股,11.69,21042,2988,10.03,-180,0股,18.57%
2009/9/15,Cash,,,960.24,,,,,
2009/9/16,郑州煤电(600121.XSHG),1800股,9.03,16254,1162,8.38,-144,0股,14.50%
2009/9/16,皖通高速(600012.XSHG),4900股,5.26,25774,297,5.2,-294,0股,23%
2009/9/16,赣粤高速(600269.XSHG),3600股,8.2,29520,5004,6.81,-1008,0股,26.34%
2009/9/16,东湖高新(600133.XSHG),2600股,7.19,18694,2288,6.31,390,0股,16.68%
2009/9/16,传化股份(002010.XSHE),1800股,11.59,20862,2808,10.03,-180,0股,18.62%
2009/9/16,Cash,,,960.24,,,,,
2009/9/17,郑州煤电(600121.XSHG),1800股,9.19,16542,1450,8.38,288,0股,14.43%
2009/9/17,皖通高速(600012.XSHG),4900股,5.41,26509,1032,5.2,735,0股,23.12%
2009/9/17,赣粤高速(600269.XSHG),3600股,8.22,29592,5076,6.81,72,0股,25.81%
2009/9/17,东湖高新(600133.XSHG),2600股,7.57,19682,3276,6.31,988,0股,17.17%
2009/9/17,传化股份(002010.XSHE),1800股,11.87,21366,3312,10.03,504,0股,18.64%
2009/9/17,Cash,,,960.24,,,,,
2009/9/18,郑州煤电(600121.XSHG),1800股,9.51,17118,2026,8.38,576,0股,15.30%
2009/9/18,皖通高速(600012.XSHG),4900股,5.25,25725,248,5.2,-784,0股,22.99%
2009/9/18,赣粤高速(600269.XSHG),3600股,7.84,28224,3708,6.81,-1368,0股,25.23%
2009/9/18,东湖高新(600133.XSHG),2600股,7.26,18876,2470,6.31,-806,0股,16.87%
2009/9/18,传化股份(002010.XSHE),1800股,11.65,20970,2916,10.03,-396,0股,18.74%
2009/9/18,Cash,,,960.24,,,,,
2009/9/21,郑州煤电(600121.XSHG),1800股,10.37,18666,3574,8.38,1548,0股,16.41%
2009/9/21,皖通高速(600012.XSHG),4900股,5.27,25823,346,5.2,98,0股,22.70%
2009/9/21,赣粤高速(600269.XSHG),3600股,7.89,28404,3888,6.81,180,0股,24.96%
2009/9/21,东湖高新(600133.XSHG),2600股,7.36,19136,2730,6.31,260,0股,16.82%
2009/9/21,传化股份(002010.XSHE),1800股,11.55,20790,2736,10.03,-180,0股,18.27%
2009/9/21,Cash,,,960.24,,,,,
2009/9/22,郑州煤电(600121.XSHG),1800股,9.69,17442,2350,8.38,-1224,0股,15.73%
2009/9/22,皖通高速(600012.XSHG),4900股,5.16,25284,-193,5.2,-539,0股,22.81%
2009/9/22,赣粤高速(600269.XSHG),3600股,7.62,27432,2916,6.81,-972,0股,24.74%
2009/9/22,东湖高新(600133.XSHG),2600股,7.05,18330,1924,6.31,-806,0股,16.53%
2009/9/22,传化股份(002010.XSHE),1800股,11.9,21420,3366,10.03,630,0股,19.32%
2009/9/22,Cash,,,960.24,,,,,
2009/9/23,郑州煤电(600121.XSHG),1800股,9.11,16398,1306,8.38,-1044,0股,15.23%
2009/9/23,皖通高速(600012.XSHG),4900股,5.09,24941,-536,5.2,-343,0股,23.16%
2009/9/23,赣粤高速(600269.XSHG),3600股,7.47,26892,2376,6.81,-540,0股,24.97%
2009/9/23,东湖高新(600133.XSHG),2600股,6.92,17992,1586,6.31,-338,0股,16.71%
2009/9/23,传化股份(002010.XSHE),1800股,11.4,20520,2466,10.03,-900,0股,19.05%
2009/9/23,Cash,,,960.24,,,,,
2009/9/24,郑州煤电(600121.XSHG),1800股,9.37,16866,1774,8.38,468,0股,15.60%
2009/9/24,皖通高速(600012.XSHG),4900股,5.09,24941,-536,5.2,0,0股,23.07%
2009/9/24,赣粤高速(600269.XSHG),3600股,7.54,27144,2628,6.81,252,0股,25.10%
2009/9/24,东湖高新(600133.XSHG),2600股,7.02,18252,1846,6.31,260,0股,16.88%
2009/9/24,传化股份(002010.XSHE),1800股,11.09,19962,1908,10.03,-558,0股,18.46%
2009/9/24,Cash,,,960.24,,,,,
2009/9/25,郑州煤电(600121.XSHG),1800股,9,16200,1108,8.38,-666,0股,15.23%
2009/9/25,皖通高速(600012.XSHG),4900股,5.16,25284,-193,5.2,343,0股,23.78%
2009/9/25,赣粤高速(600269.XSHG),3600股,7.22,25992,1476,6.81,-1152,0股,24.44%
2009/9/25,东湖高新(600133.XSHG),2600股,6.88,17888,1482,6.31,-364,0股,16.82%
2009/9/25,传化股份(002010.XSHE),1800股,11.12,20016,1962,10.03,54,0股,18.82%
2009/9/25,Cash,,,960.24,,,,,
2009/9/28,郑州煤电(600121.XSHG),1800股,9.11,16398,1306,8.38,198,0股,15.85%
2009/9/28,皖通高速(600012.XSHG),4900股,5.04,24696,-781,5.2,-588,0股,23.87%
2009/9/28,赣粤高速(600269.XSHG),3600股,6.96,25056,540,6.81,-936,0股,24.22%
2009/9/28,东湖高新(600133.XSHG),2600股,6.58,17108,702,6.31,-780,0股,16.54%
2009/9/28,传化股份(002010.XSHE),1800股,10.69,19242,1188,10.03,-774,0股,18.60%
2009/9/28,Cash,,,960.24,,,,,
2009/9/29,郑州煤电(600121.XSHG),1800股,8.99,16182,1090,8.38,-216,0股,15.96%
2009/9/29,皖通高速(600012.XSHG),4900股,5.03,24647,-830,5.2,-49,0股,24.31%
2009/9/29,赣粤高速(600269.XSHG),3600股,6.68,24048,-468,6.81,-1008,0股,23.71%
2009/9/29,东湖高新(600133.XSHG),2600股,6.39,16614,208,6.31,-494,0股,16.38%
2009/9/29,传化股份(002010.XSHE),1800股,10.53,18954,900,10.03,-288,0股,18.69%
2009/9/29,Cash,,,960.24,,,,,
2009/9/30,郑州煤电(600121.XSHG),1800股,9.55,17190,2098,8.38,1008,0股,16.67%
2009/9/30,皖通高速(600012.XSHG),4900股,5.07,24843,-634,5.2,196,0股,24.09%
2009/9/30,赣粤高速(600269.XSHG),3600股,6.72,24192,-324,6.81,144,0股,23.46%
2009/9/30,东湖高新(600133.XSHG),2600股,6.42,16692,286,6.31,78,0股,16.18%
2009/9/30,传化股份(002010.XSHE),1800股,10.7,19260,1206,10.03,306,0股,18.67%
2009/9/30,Cash,,,960.24,,,,,
2009/10/9,郑州煤电(600121.XSHG),1800股,10.24,18432,3340,8.38,1242,0股,16.93%
2009/10/9,皖通高速(600012.XSHG),4900股,5.21,25529,52,5.2,686,0股,23.45%
2009/10/9,赣粤高速(600269.XSHG),3600股,7.09,25524,1008,6.81,1332,0股,23.45%
2009/10/9,东湖高新(600133.XSHG),2600股,6.8,17680,1274,6.31,988,0股,16.24%
2009/10/9,传化股份(002010.XSHE),1800股,11.52,20736,2682,10.03,1476,0股,19.05%
2009/10/9,Cash,,,960.24,,,,,
2009/10/12,郑州煤电(600121.XSHG),1800股,10.55,18990,3898,8.38,558,0股,17.45%
2009/10/12,皖通高速(600012.XSHG),4900股,5.15,25235,-242,5.2,-294,0股,23.19%
2009/10/12,赣粤高速(600269.XSHG),3600股,6.96,25056,540,6.81,-468,0股,23.03%
2009/10/12,东湖高新(600133.XSHG),2600股,6.83,17758,1352,6.31,78,0股,16.32%
2009/10/12,传化股份(002010.XSHE),1800股,11.56,20808,2754,10.03,72,0股,19.12%
2009/10/12,Cash,,,960.24,,,,,
2009/10/13,郑州煤电(600121.XSHG),1800股,11.61,20898,5806,8.38,1908,0股,18.60%
2009/10/13,皖通高速(600012.XSHG),4900股,5.21,25529,52,5.2,294,0股,22.72%
2009/10/13,赣粤高速(600269.XSHG),3600股,6.99,25164,648,6.81,108,0股,22.39%
2009/10/13,东湖高新(600133.XSHG),2600股,7,18200,1794,6.31,442,0股,16.20%
2009/10/13,传化股份(002010.XSHE),1800股,12.01,21618,3564,10.03,810,0股,19.24%
2009/10/13,Cash,,,960.24,,,,,
2009/10/14,郑州煤电(600121.XSHG),1800股,12.09,21762,6670,8.38,864,0股,19.10%
2009/10/14,皖通高速(600012.XSHG),4900股,5.24,25676,199,5.2,147,0股,22.54%
2009/10/14,赣粤高速(600269.XSHG),3600股,7.21,25956,1440,6.81,792,0股,22.78%
2009/10/14,东湖高新(600133.XSHG),2600股,6.98,18148,1742,6.31,-52,0股,15.93%
2009/10/14,传化股份(002010.XSHE),1800股,11.9,21420,3366,10.03,-198,0股,18.80%
2009/10/14,Cash,,,960.24,,,,,
2009/10/15,郑州煤电(600121.XSHG),1800股,12.26,22068,6976,8.38,306,0股,19.24%
2009/10/15,皖通高速(600012.XSHG),4900股,5.29,25921,444,5.2,245,0股,22.60%
2009/10/15,赣粤高速(600269.XSHG),3600股,7.14,25704,1188,6.81,-252,0股,22.41%
2009/10/15,东湖高新(600133.XSHG),2600股,7.05,18330,1924,6.31,182,0股,15.98%
2009/10/15,传化股份(002010.XSHE),1800股,12.05,21690,3636,10.03,270,0股,18.91%
2009/10/15,Cash,,,960.24,,,,,
2009/10/16,郑州煤电(600121.XSHG),1800股,12.28,22104,7012,8.38,36,0股,19.28%
2009/10/16,皖通高速(600012.XSHG),4900股,5.24,25676,199,5.2,-245,0股,22.40%
2009/10/16,赣粤高速(600269.XSHG),3600股,7.09,25524,1008,6.81,-180,0股,22.26%
2009/10/16,东湖高新(600133.XSHG),2600股,7.16,18616,2210,6.31,286,0股,16.24%
2009/10/16,传化股份(002010.XSHE),1800股,12.09,21762,3708,10.03,72,0股,18.98%
2009/10/16,Cash,,,960.24,,,,,
2009/10/19,郑州煤电(600121.XSHG),1800股,12.34,22212,7120,8.38,108,0股,19.03%
2009/10/19,皖通高速(600012.XSHG),4900股,5.29,25921,444,5.2,245,0股,22.21%
2009/10/19,赣粤高速(600269.XSHG),3600股,7.15,25740,1224,6.81,216,0股,22.05%
2009/10/19,东湖高新(600133.XSHG),2600股,7.29,18954,2548,6.31,338,0股,16.24%
2009/10/19,传化股份(002010.XSHE),1800股,12.74,22932,4878,10.03,1170,0股,19.65%
2009/10/19,Cash,,,960.24,,,,,
2009/10/20,郑州煤电(600121.XSHG),1800股,12.31,22158,7066,8.38,-54,0股,18.68%
2009/10/20,皖通高速(600012.XSHG),4900股,5.34,26166,689,5.2,245,0股,22.05%
2009/10/20,赣粤高速(600269.XSHG),3600股,7.5,27000,2484,6.81,1260,0股,22.76%
2009/10/20,东湖高新(600133.XSHG),2600股,7.3,18980,2574,6.31,26,0股,16%
2009/10/20,传化股份(002010.XSHE),1800股,12.99,23382,5328,10.03,450,0股,19.71%
2009/10/20,Cash,,,960.24,,,,,
2009/10/21,郑州煤电(600121.XSHG),1800股,11.78,21204,6112,8.38,-954,0股,18.11%
2009/10/21,皖通高速(600012.XSHG),4900股,5.35,26215,738,5.2,49,0股,22.39%
2009/10/21,赣粤高速(600269.XSHG),3600股,7.36,26496,1980,6.81,-504,0股,22.63%
2009/10/21,东湖高新(600133.XSHG),2600股,7.44,19344,2938,6.31,364,0股,16.52%
2009/10/21,传化股份(002010.XSHE),1800股,12.7,22860,4806,10.03,-522,0股,19.53%
2009/10/21,Cash,,,960.24,,,,,
2009/10/22,郑州煤电(600121.XSHG),1800股,11.78,21204,6112,8.38,0,0股,18.21%
2009/10/22,皖通高速(600012.XSHG),4900股,5.3,25970,493,5.2,-245,0股,22.30%
2009/10/22,赣粤高速(600269.XSHG),3600股,7.29,26244,1728,6.81,-252,0股,22.54%
2009/10/22,东湖高新(600133.XSHG),2600股,7.33,19058,2652,6.31,-286,0股,16.36%
2009/10/22,传化股份(002010.XSHE),1800股,12.79,23022,4968,10.03,162,0股,19.77%
2009/10/22,Cash,,,960.24,,,,,
2009/10/23,郑州煤电(600121.XSHG),1600股,11.87,18992,5576.89,8.38,144,0股,16.12%
2009/10/23,赣粤高速(600269.XSHG),3800股,7.43,28234,2256,6.84,528,200股,23.97%
2009/10/23,东湖高新(600133.XSHG),3100股,7.56,23436,3355,6.48,703,500股,19.90%
2009/10/23,传化股份(002010.XSHE),1900股,12.8,24320,4976,10.18,8,100股,20.65%
2009/10/23,汇通能源(600605.XSHG),1900股,10.23,19437,0,10.23,0,1900股,16.50%
2009/10/23,Cash,,,3372.28,,,,,
2009/10/26,郑州煤电(600121.XSHG),1500股,11.71,17565,4988.33,8.38,-240,0股,15.02%
2009/10/26,赣粤高速(600269.XSHG),3800股,7.37,28006,2028,6.84,-228,0股,23.95%
2009/10/26,东湖高新(600133.XSHG),3000股,7.48,22440,3006.77,6.48,-240,0股,19.19%
2009/10/26,传化股份(002010.XSHE),1900股,13,24700,5356,10.18,380,0股,21.12%
2009/10/26,峨眉山A(000888.XSHE),2200股,10.49,23078,-506,10.72,-506,2200股,19.74%
2009/10/26,Cash,,,1145.96,,,,,
2009/10/27,郑州煤电(600121.XSHG),1500股,11.57,17355,4778.33,8.38,-210,0股,15.09%
2009/10/27,赣粤高速(600269.XSHG),3700股,7.15,26455,1160.63,6.84,-814,0股,23.01%
2009/10/27,东湖高新(600133.XSHG),2900股,7.3,21170,2384.55,6.48,-522,0股,18.41%
2009/10/27,传化股份(002010.XSHE),1900股,12.47,23693,4349,10.18,-1007,0股,20.61%
2009/10/27,七匹狼(002029.XSHE),1300股,19.65,25545,806,19.03,806,1300股,22.22%
2009/10/27,Cash,,,765.26,,,,,
2009/10/28,郑州煤电(600121.XSHG),1500股,11.99,17985,5408.33,8.38,630,0股,15.33%
2009/10/28,赣粤高速(600269.XSHG),3700股,7.22,26714,1419.63,6.84,259,0股,22.77%
2009/10/28,东湖高新(600133.XSHG),2900股,7.28,21112,2326.55,6.48,-58,0股,18%
2009/10/28,传化股份(002010.XSHE),1900股,12.64,24016,4672,10.18,323,0股,20.47%
2009/10/28,七匹狼(002029.XSHE),1300股,20.55,26715,1976,19.03,1170,0股,22.77%
2009/10/28,Cash,,,765.26,,,,,
2009/10/29,郑州煤电(600121.XSHG),1500股,11.2,16800,4223.33,8.38,-1185,0股,14.69%
2009/10/29,赣粤高速(600269.XSHG),3700股,7,25900,605.63,6.84,-814,0股,22.65%
2009/10/29,东湖高新(600133.XSHG),2900股,7.11,20619,1833.55,6.48,-493,0股,18.03%
2009/10/29,传化股份(002010.XSHE),1900股,12.8,24320,4976,10.18,304,0股,21.27%
2009/10/29,七匹狼(002029.XSHE),1300股,19.97,25961,1222,19.03,-754,0股,22.70%
2009/10/29,Cash,,,765.26,,,,,
2009/10/30,郑州煤电(600121.XSHG),1500股,11.23,16845,4268.33,8.38,45,0股,14.51%
