日期,标的,数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,当日盈亏,今手数,仓位占比
2017/3/22,尚荣医疗(002551.XSHE),1900股,18.5,35150,169,18.41,-361,0股,12.25%
2017/3/22,长城汽车(601633.XSHG),7000股,12.38,86660,22277,9.2,210,0股,30.21%
2017/3/22,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.12%
2017/3/22,Cash,,,58720.02,,,,,
2017/3/23,长春高新(000661.XSHE),600股,117.24,70344,12853,95.82,-1206,0股,24.59%
2017/3/23,尚荣医疗(002551.XSHE),1900股,18.53,35207,226,18.41,57,0股,12.31%
2017/3/23,长城汽车(601633.XSHG),7000股,12.44,87080,22697,9.2,420,0股,30.44%
2017/3/23,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.15%
2017/3/23,Cash,,,58720.02,,,,,
2017/3/24,长春高新(000661.XSHE),600股,116.29,69774,12283,95.82,-570,0股,24.41%
2017/3/24,尚荣医疗(002551.XSHE),1900股,18.39,34941,-40,18.41,-266,0股,12.22%
2017/3/24,长城汽车(601633.XSHG),7000股,12.52,87640,23257,9.2,560,0股,30.66%
2017/3/24,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.16%
2017/3/24,Cash,,,58720.02,,,,,
2017/3/27,长春高新(000661.XSHE),600股,115,69000,11509,95.82,-774,0股,24.18%
2017/3/27,尚荣医疗(002551.XSHE),1900股,18.47,35093,112,18.41,152,0股,12.30%
2017/3/27,长城汽车(601633.XSHG),7000股,12.54,87780,23397,9.2,140,0股,30.76%
2017/3/27,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.18%
2017/3/27,Cash,,,58720.02,,,,,
2017/3/28,长春高新(000661.XSHE),600股,115.51,69306,11815,95.82,306,0股,24.28%
2017/3/28,尚荣医疗(002551.XSHE),1900股,18.42,34998,17,18.41,-95,0股,12.26%
2017/3/28,长城汽车(601633.XSHG),7000股,12.52,87640,23257,9.2,-140,0股,30.71%
2017/3/28,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.18%
2017/3/28,Cash,,,58720.02,,,,,
2017/3/29,长春高新(000661.XSHE),600股,113.98,68388,10897,95.82,-918,0股,24.10%
2017/3/29,尚荣医疗(002551.XSHE),1900股,18.21,34599,-382,18.41,-399,0股,12.19%
